title,author,text,difficulty
Little Bear,"Minarik, Else Holmelund",b002_LittleBear.txt,1
Are You My Mother?,"Eastman, P. D.",b003_AreYouMyMother.txt,1
Green Eggs and Ham,"Seuss, Dr.",b004_GreenEggsAndHam.txt,1
Put Me in the Zoo,"Lopshire, Robert.",b005_Putmeinthezoo.txt,1
Frog and Toad Together,"Lobel, Arnold.",b006_FrogAndToadTogether.txt,1
Owl at Home,"Lobel, Arnold.",b007_OwlAtHome.txt,1
Hi! Fly Guy,"Arnold, Tedd.",b008_HiFlyGuy.txt,1
A Tree Is a Plant,"Bulla, Clyde Robert.",b009_ATreeIsaPlant.txt,1
My Five Senses,Aliki.,b010_MyFiveSenses.txt,1
Starfish,"Hurd, Edith Thacher",b011_Starfish.txt,1
A Weed is a Flower: The Life of George Washington Carver,Aliki.,b012_AWeedisaFlower.txt,1
“Garden Helpers.”,National Geographic Young Explorers,b016_GardenHelpers.txt,1
“Wind Power.”,National Geographic Young Explorers,b017_WindPower.txt,1
My Father’s Dragon,"Gannett, Ruth Stiles. ",b018_MyFathersDragon.txt,2
The Fire Cat,"Averill, Esther. ",b019_TheFireCat.txt,2
Amos & Boris,"Steig, William",b020_AmosBoris.txt,2
The Treasure,"Shulevitz, Uri",b021_TheTreasure.txt,2
The Stories Julian Tells,"Cameron, Ann",b022_TheStoriesJulianTells.txt,2
"Sarah, Plain and Tall","MacLachlan, Patricia",b023_SarahPlainandTall.txt,2
 Henry and Mudge: The First Book of Their Adventures,"Rylant, Cynthia",b024_HenryandMudge.txt,2
Tops and Bottoms,"Stevens, Janet.",b025_TopsandBottoms.txt,2
The Raft,"LaMarche, Jim.",b026_TheRaft.txt,2
 Poppleton in Winter,"Rylant, Cynthia. ",b027_PoppletoninWinter.txt,2
The Lighthouse Family: The Storm,"Rylant, Cynthia. ",b028_TheLighthouseFamilyTheStorm.txt,2
The One-Eyed Giant (Book One of Tales from the Odyssey),"Osborne, Mary Pope",b029_TheOneEyed.txt,2
Cowgirl Kate and Cocoa,"Silverman, Erica",b030_CowgirlKateandCocoa.txt,2
A Medieval Feast,Aliki,b031_AMedievalFeast.txt,2
From Seed to Plant,"Gibbons, Gail",b032_FromSeedtoPlant.txt,2
Bats: Creatures of the Night,"Milton, Joyce",b033_BatsCreaturesoftheNight.txt,2
Throw Your Tooth on the Roof: Tooth Traditions Around the World,"Beeler, Selby",b034_ThrowYourTooth.txt,2
Martin Luther King and the March on Washington,"Ruffin, Frances E",b036_MartinLutherKingandtheMarchonWashington.txt,2
 So You Want to Be President?,"St George, Judith",b037_SoYouWanttoBePresident.txt,2
"Boy, Were We Wrong About Dinosaurs","Kudlinski, Kathleen V",b039_BoyWereWeWrongAboutDinosaurs.txt,2
Bat Loves the Night,"Davies, Nicola",b040_BatLovestheNight.txt,2
Moonshot: The Flight of Apollo 11,"Floca, Brian",b041_MoonshotTheFlightofApollo.txt,2
Where Do Polar Bears Live?,"Thomson, Sarah L",b042_WhereDoPolarBearsLive.txt,2
Alice’s Adventures in Wonderland,"Carroll, Lewis",b043_AlicesAdventuresinWonderland.txt,3
The Secret Garden,"Burnett, Frances Hodgson",b044_TheSecretGarden.txt,3
The Black Stallion,"Farley, Walter",b045_TheBlackStallion.txt,3
The Little Prince,"Saint-Exupéry, Antoine de",b046_TheLittlePrince.txt,3
Tuck Everlasting,"Babbitt, Natalie",b047_TuckEverlasting.txt,3
“Zlateh the Goat.”,"Singer, Isaac Bashevis",b048_latehtheGoat.txt,3
"M. C. Higgins, the Great","Hamilton, Virginia",b049_MCHigginstheGreat.txt,3
The Birchbark House,"Erdrich, Louise",b050_TheBirchbarkHouse.txt,3
"Bud, Not Buddy","Curtis, Christopher Paul",b051_BudNotBuddy.txt,3
Where the Mountain Meets the Moon,"Lin, Grace",b052_WheretheMountain.txt,3
Discovering Mars: The Amazing Story of the Red Planet,"Berger, Melvin",b053_DiscoveringMarsTheAmaingStoryoftheRedPlanet.txt,3
Hurricanes: Earth’s Mightiest Storms,"Lauber, Patricia",b055_HurricanesEarthsMightiestStorms.txt,3
Toys!: Amazing Stories Behind Some Great Inventions,"Wulffson, Don",b057_ToysAmaingStories.txt,3
"“Good Pet, Bad Pet.”","Schleichert, Elizabeth",b058_GoodPetBadPet.txt,3
“Ancient Mound Builders.”,"Kavash, E. Barrie",b059_AncientMoundBuilders.txt,3
About Time: A First Look at Time and Clocks,"Koscielniak, Bruce",b060_AboutTime.txt,3
England the Land,"Banting, Erinn",b061_EnglandtheLand.txt,3
A History of US,"Hakim, Joy",b062_AHistoryofUS.txt,3
My Librarian Is a Camel: How Books Are Brought to Children Around the World,"Ruurs, Margriet",b063_MyLibrarianIsaCamel.txt,3
Horses,"Simon, Seymour",b064_Horses.txt,3
Quest for the Tree Kangaroo:An Expedition to the Cloud Forest of New Guinea,"Montgomery, Sy",b065_QuestfortheTree.txt,3
Volcanoes,"Simon, Seymour",b066_Volcanoes.txt,3
We Are the Ship: The Story of Negro League Baseball,"Nelson, Kadir",b067_WeAretheShip.txt,3
“Kenya’s Long Dry Season.”,"Cutler, Nellie Gonzalez",b068_KenyasLongDrySeason.txt,3
“Seeing Eye to Eye.”,"Hall, Leslie",b069_SeeingEyetoEye.txt,3
“Telescopes.”,"Ronan, Colin A",b070_Telescopes.txt,3
“Underground Railroad.”,"Buckmaster, Henrietta",b071_UndergroundRailroad.txt,3
Little Women,"Alcott, Louisa May",b072_LittleWomen.txt,4
The Adventures of Tom Sawyer,"Twain, Mark",b073_TheAdventuresofTomSawyer.txt,4
A Wrinkle in Time,"L’Engle, Madeleine",b074_AWrinkleinTime.txt,4
The Dark Is Rising,"Cooper, Susan",b075_TheDarkIsRising.txt,4
Dragonwings,"Yep, Laurence",b076_Dragonwings.txt,4
"Roll of Thunder, Hear My Cry","Taylor, Mildred D",b077_RollofThunderHearMyCry.txt,4
