,title,author,text,difficulty,docs
0,Little Bear,"Minarik, Else Holmelund",b002_LittleBear.txt,1,"“Mother Bear, Mother Bear, Where are you?” calls Little Bear. “Oh, dear, Mother Bear is not here, and today is my birthday. “I think my friends will come, but I do not see a birthday cake. My goodness – no birthday cake. What can I do? The pot is by the fire. The water in the pot is hot. If I put something in the water, I can make Birthday Soup. All my friends like soup. Let me see what we have. We have carrots and potatoes, peas and tomatoes; I can make soup with carrots, potatoes, peas and tomatoes.” So Little Bear begins to make soup in the big black pot. First, Hen comes in. “Happy Birthday, Little Bear,” she says. “Thank you, Hen,” says Little Bear. Hen says, “My! Something smells good here. Is it in the big black pot?” “Yes,” says Little Bear, “I am making Birthday Soup. Will you stay and have some?” “Oh, yes, thank you,” says Hen. And she sits down to wait. Next, Duck comes in. “Happy Birthday, Little bear,” says Duck. “My, something smells good. Is it in the big black pot?” “Thank you, Duck,” says Little Bear. “Yes, I am making Birthday Soup. Will you stay and have some with us?” “Thank you, yes, thank you,” says Duck. And she sits down to wait. Next, Cat comes in. “Happy Birthday, Little Bear,” he says. “Thank you, Cat,” says Little Bear. “I hope you like Birthday Soup. I am making Birthday Soup. Cat says, “Can you really cook? If you can really make it, I will eat it.” “Good,” says Little Bear. “The Birthday Soup is hot, so we must eat it now. We cannot wait for Mother Bear. I do not know where she is.” “Now, here is some soup for you, Hen,” says Little Bear. “And here is some soup for you, Duck, and here is some soup for you, Cat, and here is some soup for me. Now we can all have some Birthday Soup.” Cat sees Mother Bear at the door, and says, “Wait, Little Bear. Do not eat yet. Shut your eyes, and say one, two, three.” Little Bear shuts his eyes and says, “One, two, three.” Mother Bear comes in with a big cake. “Now, look,” says Cat. “Oh, Mother Bear,” says Little Bear, “what a big beautiful Birthday Cake! Birthday Soup is good to eat, but not as good as Birthday Cake. I am so happy you did not forget.” “Yes, Happy Birthday, Little Bear!” says Mother Bear. “This Birthday Cake is a surprise for you. I never did forget your birthday, and I never will.”"
1,Are You My Mother?,"Eastman, P. D.",b003_AreYouMyMother.txt,1,"A mother bird sat on her egg.
The egg jumped!
“Oh my!” said mother bird.  “My baby will be here!  He will want to eat!!  I must get him something!”
So away she went.

The egg jumped.  Out came the baby bird!
“Where is my mother?”  he said.  He looked for her.
He looked up / down – did not see her.
“I will go and look for her.”  So away he went.

He came to a kitten. 
“Are you my mother?” he said to the kitten.  The kitten just looked and looked.  He did not say a thing.  The kitten was not his mother, so he went on. 

He came to a dog. 
“Are you my mother?” he said to the dog.
“I am not your mother.  I am a dog,” said the dog.

The kitten was not his mother.  The dog was not his mother.  So the baby bird went on. 

He came to a cow. 
“Are you my mother?” he said to the cow. 
“How could I be your mother?” said the cow.  “I am a cow.”

The kitten was not his mother.  The dog was not his mother.  The cow was not his mother.  Did he have a mother?

“I do have a mother,” said the baby bird.  “I have to find her!”

The baby bird passed a red car.  Could that thing be his mother? 
Then he saw a boat sailing along.  “There she is!  Mother!”  He called out to the boat.  But the boat did not stop. 
He looked up and saw a plane.  “Here I am, Mother!”  But the plane did not stop. 

Then the baby bird saw a big blue thing could toward him.  This must be his mother!  He ran right up to it.  “Mother!  Mother!  Here I am, Mother!”  But the big thing just said “Snort!”
“You are not my mother.  You are a Snort.  I have to get out of here!”
But the baby bird could not get away.  The snort went up and started moving.  But where was the Snort going? 

“Where am I?” said the baby bird.  “I want to go home!  I want my mother!”
Just then the Snort dropped the baby bird back into the nest.  The baby bird was home!  Just then mother bird came back. 

“Do you know who I am?” she said to her baby.
“Yes, I know who you are.  You are not a kitten.  You are not a dog.  You are not a cow.  You are not a boat, a plane, or a snort.  You are a bird, and you are my mother!”

"
2,Green Eggs and Ham,"Seuss, Dr.",b004_GreenEggsAndHam.txt,1,"I AM SAM. I AM SAM. SAM I AM.

THAT SAM-I-AM! THAT SAM-I-AM! I DO NOT LIKE THAT SAM-I-AM!

DO WOULD YOU LIKE GREEN EGGS AND HAM?

I DO NOT LIKE THEM,SAM-I-AM.
I DO NOT LIKE GREEN EGGS AND HAM.

WOULD YOU LIKE THEM HERE OR THERE?

I WOULD NOT LIKE THEM HERE OR THERE.
I WOULD NOT LIKE THEM ANYWHERE.
I DO NOT LIKE GREEN EGGS AND HAM.
I DO NOT LIKE THEM, SAM-I-AM.

WOULD YOU LIKE THEM IN A HOUSE?
WOULD YOU LIKE THEN WITH A MOUSE?

I DO NOT LIKE THEM IN A HOUSE.
I DO NOT LIKE THEM WITH A MOUSE.
I DO NOT LIKE THEM HERE OR THERE.
I DO NOT LIKE THEM ANYWHERE.
I DO NOT LIKE GREEN EGGS AND HAM.
I DO NOT LIKE THEM, SAM-I-AM.

WOULD YOU EAT THEM IN A BOX?
WOULD YOU EAT THEM WITH A FOX?

NOT IN A BOX. NOT WITH A FOX.
NOT IN A HOUSE. NOT WITH A MOUSE.
I WOULD NOT EAT THEM HERE OR THERE.
I WOULD NOT EAT THEM ANYWHERE.
I WOULD NOT EAT GREEN EGGS AND HAM.
I DO NOT LIKE THEM, SAM-I-AM.

WOULD YOU? COULD YOU? IN A CAR?
EAT THEM! EAT THEM! HERE THEY ARE.

I WOULD NOT, COULD NOT, IN A CAR.

YOU MAY LIKE THEM. YOU WILL SEE.
YOU MAY LIKE THEM IN A TREE!

I WOULD NOT, COULD NOT IN A TREE.
NOT IN A CAR! YOU LET ME BE.
I DO NOT LIKE THEM IN A BOX.
I DO NOT LIKE THEM WITH A FOX.
I DO NOT LIKE THEM IN A HOUSE.
I DO NOT LIKE THEM WITH A MOUSE.
I DO NOT LIKE THEM HERE OR THERE.
I DO NOT LIKE THEM ANYWHERE.
I DO NOT LIKE GREEN EGGS AND HAM.
I DO NOT LIKE THEM, SAM-I-AM.

A TRAIN! A TRAIN! A TRAIN! A TRAIN!
COULD YOU, WOULD YOU ON A TRAIN?

NOT ON TRAIN! NOT IN A TREE!
NOT IN A CAR! SAM! LET ME BE!
I WOULD NOT, COULD NOT, IN A BOX.
I WOULD NOT, COULD NOT, WITH A FOX.
I WILL NOT EAT THEM IN A HOUSE.
I WILL NOT EAT THEM HERE OR THERE.
I WILL NOT EAT THEM ANYWHERE.
I DO NOT EAT GREEM EGGS AND HAM.
I DO NOT LIKE THEM, SAM-I-AM.

SAY! IN THE DARK? HERE IN THE DARK!
WOULD YOU, COULD YOU, IN THE DARK?

I WOULD NOT, COULD NOT, IN THE DARK.

WOULD YOU COULD YOU IN THE RAIN?

I WOULD NOT, COULD NOT IN THE RAIN.
NOT IN THE DARK. NOT ON A TRAIN.
NOT IN A CAR. NOT IN A TREE.
I DO NOT LIKE THEM, SAM, YOU SEE.
NOT IN A HOUSE. NOT IN A BOX.
NOT WITH A MOUSE. NOT WITH A FOX.
I WILL NOT EAT THEM HERE OR THERE.
I DO NOT LIKE THEM ANYWHERE!

YOU DO NOT LIKE GREEN EGGS AND HAM?

I DO NOT LIKE THEM, SAM-I-AM.

COULD YOU, WOULD YOU, WITH A GOAT?

I WOULD NOT, COULD NOT WITH A GOAT!

WOULD YOU, COULD YOU, ON A BOAT?

I COULD NOT, WOULD NOT, ON A BOAT.
I WILL NOT, WILL NOT, WITH A GOAT.
I WILL NOT EAT THEM IN THE RAIN.
NOT IN THE DARK! NOT IN A TREE!
NOT IN A CAR! YOU LET ME BE!
I DO NOT LIKE THEM IN A BOX.
I DO NOT LIKE THEM WITH A FOX.
I WILL NOT EAT THEM IN A HOUSE.
I DO NOT LIKE THEM WITH A MOUSE.
I DO NOT LIKE THEM HERE OR THERE.
I DO NOT LIKE THEM ANYWHERE!
I DO NOT LIKE GREEN EGGS AND HAM!
I DO NOT LIKE THEM, SAM-I-AM.

YOU DO NOT LIKE THEM. SO YOU SAY.
TRY THEM! TRY THEM! AND YOU MAY.
TRY THEM AND YOU MAY, I SAY.

sAM! IF YOU LET ME BE,
I WILL TRY THEM. YOU WILL SEE.

(... and he tries them ...)

SAY! I LIKE GREEN EGGS AND HAM!
I DO! I LIKE THEM, SAM-I-AM!
AND I WOULD EAT THEM IN A BOAT.
AND I WOULD EAT THEM WITH A GOAT...
AND I WILL EAT THEM, IN THE RAIN.
AND IN THE DARK. AND ON A TRAIN.
AND IN A CAR. AND IN A TREE.
THEY ARE SO GOOD, SO GOOD, YOU SEE!
SO I WILL EAT THEM IN A BOX.
AND I WILL EAT THEM WITH A FOX.
AND I WILL EAT THEM IN A HOUSE.
AND I WILL EAT THEM WITH A MOUSE.
AND I WILL EAT THEM HERE AND THERE.
SAY! I WILL EAT THEM ANYWHERE!
I DO SO LIKE GREEN EGGS AND HAM!
THANK YOU! THANK YOU, SAM I AM."
3,Put Me in the Zoo,"Lopshire, Robert.",b005_Putmeinthezoo.txt,1,"I will go into the zoo. I want to see it. Yes, I do. I would like to live this way. This is where I want to stay. Will you keep me in the zoo? I want to stay in here with you. We do not want you in the zoo. Out you go! Out! Out with you. Why did they put me out this way. I should be in. I want to stay. Why should they put you in the zoo? What good are you? What can you do? What good am I? What can I do? Now here is one thing I can do. Look! Now all his spots are blue! And now his spots are orange! Say! He looks very good that way."
4,Frog and Toad Together,"Lobel, Arnold.",b006_FrogAndToadTogether.txt,1,"One morning Toad sat in the bed. “I have many things to do,” he said. “I will have many things to do,” he said. “I will write them all down on a list so that I can remember them.” Toad wrote down in a piece of paper: A List o things to do today Then he wrote: Wake up “I have done that,” said Toad and he crossed out: Wake Up Then Toad wrote other things on the paper. A list of things to do today Wake Up Eat Breakfast Get dressed Go to Frog’s house Take walk with Frog Eat lunch Take nap Play game with Frog Eat supper Go to sleep “There ,” said Toad. “Now my day is all written down.” He got out of bed and had something to eat. Then Toad crossed out: Eat Breakfast Toad took his clothes out of the closet and put them on. Then he crossed out: Get dressed Toad put the list in his pocket. He opened the door and walked out into the morning. Soon toad was at frog’s front door. He took the list from his pocket and crossed out: Go to Frog’s house Toad knocked at the door. “Hello,” said Frog. “Look at my list of things to do,” said Toad. “Oh,” said Frog, “that is very nice.” Toad said, “My list tells me that we will go for a walk.” “All right,” said Frog. “I am ready.” Frog and Toad went on a long walk. Then Toad took the list from his pocket again. He crossed out: Take walk with Frog Just then there was a strong wind. It blew the list Out of Toad’s hand. The list blew high up into the air. “Help!” cried Toad. “My list is blowing away. What will I do without my list?” “Hurry!” said Frog. “We will run and catch it.” “No!” shouted Toad. “I cannot do that.” “Why not?” asked Frog. “Because,” wailed Toad, “running after my list in not one of the things that I wrote on my list of things to do!” Frog ran after the list. He ran over hills and swamps, but the list blew on and on. At last Frog came back to Toad. “I am sorry,” gasped Frog, “but I could not catch your list,” “Blah,” said Toad.”I cannot remember any of the things that were on my list of things to do. I will just have to sit there and do nothing,” said Toad. Toad sat and did nothing. Frog sat with him. After a long time Frog said, “Toad, it is getting dark. We should be going to sleep now.” “Go to sleep!” shouted Toad. “That was the last thing on my list!” Toad wrote on the ground with a stick: Go to sleep. Then he crossed out: Go to sleep. “There,” said Toad. “Now my day is all crossed out!” “I am glad,” said Frog. Then Frog and Toad went right to sleep. THE GARDEN Frog was in his garden. Toad came walking by. “What a fine garden you have, Frog,” he said. “Yes,” said Frog. “It is very nice, but it was hard work.” “I wish I had a garden,” said Toad. “Here are some flower seeds. Plant them in the ground,” said Frog, “and soon you will have a garden.” “How soon?” asked Toad. “Quite soon,” said Frog. Toad ran home. He planted the flower seeds. “Now seeds,” said Toad, “start growing.” Toad walked up and down a few times. The seeds did not start to grow. Toad put his head close to the ground and said loudly, “Now seeds, start growing!” Toad looked at the ground again. The seeds did not start to grow. Toad put his head very close to the ground and shouted “NOW SEEDS, START GROWING!” Frog came running up the path. “What is all this noise,” he asked. “My seeds will not grow,” said Toad. “You are shouting too much,” said Frog. “These poor seeds are afraid to grow. “My seeds are afraid to grow?” asked Toad. “Of course,” said Frog. “Leave them alone for a few days. Let the sun shine on them, let the rain fall on them. Soon your seeds will start to grow.” That night Toad looked out his window. “Drat!” said Toad. “My seeds have not started to grow. They must be afraid of the dark.” Toad went out to his garden with some candles. “I will read the seeds a story,” said Toad. “Then they will not be afraid.” Toad read a long story to his seeds. All the next day Toad sang songs to his seeds. And all the next day Toad read poems to his seeds. And all the next day Toad played music for his seeds. Toad looked at the ground. The seeds still did not start to grow. “What shall I do?” cried Toad. “These must be most frightened seeds in the whole world!” Then Toad felt vey tired, and he fell asleep. “Toad, Toad, wake up,” said Frog. “Look at your garden!” Toad looked at his garden. Little green plants were Coming up out of the ground. “At last shouted Toad, “my seeds have stopped being afraid to grow!” “And now you will have a nice garden too.” Said Frog. “It was very hard work.” COOKIES Toad baked some cookies. “These cookies smell very good,” said Toad. He ate one. “And they taste even better,” he said. Toad ran to Frog’s house. “Frog, Frog,” cried Toad, “taste this cookies that I made.” Frog at one of the cookies. “These are the best cookies I have ever eaten!” said Frog. Frog and Toad ate many cookies, one after another. “You know, Toad,” said Frog, with his mouth full, “I think we should stop eating. We will soon be sick.” “You are right,” said Toad. “Let us eat one last cookie, and then we will stop.” Frog and Toad ate one last cookie. There were many cookies left in the bowl. “Frog,” said Toad, “let us eat one very last cookie, and then we will stop.” Frog and Toad ate one very last cookie. “We must stop eating!” cried Toad as he ate another. “Yes,” said Frog, reaching for a cookie, “we need will power.” “What is will power?” asked Toad. “Will power is trying hard not to do something that really want to do,” said Frog. “You mean like trying not to eat all of these cookies?” asked Toad. “Right,” said Frog. Frog put the cookies in a box. “There,” he said. “Now we will note eat any more cookies.” “But we can open the box,” said Toad. “That is true,” said Frog. Frog got a ladder. He put the box up on high shelf. “There,” said Frog. “Now we will not eat any more cookie.” “But we can climb the ladder and take the box down from the shelf and cut the string and open the box,” said Toad. “That is true,” said Frog. Frog climbed the ladder and took the box down from the shelf. He cuts the string and opened the box. Frog took the box outside. He shouted in a loud voice, “HEY BIRDS. HERE ARE COOKIES!” Birds came from everywhere. They picked up all the cookies in their beaks and flew away. “Now we have no more cookies to eat,” said Toad sadly. “Not even one,” “Yes,” said Frog, “but we have lots of will power.” “You may keep it all, Frog,” said Toad. “I am going home now to bake a cake.” DRAGONS AND GIANTS Frog and Toad were reading a book together. “The people in this book are brave,” said Toad. “They fight dragons and giants, and they are never afraid,! “I wonder if we are brave,” said Frog. Frog and Toad looked into a mirror. “We look brave,” said Frog. “Yes, but are we?” asked Toad. Frog and Toad went outside. “We can try to climb this mountain,” said Frog. “That should tell us if we are brave. Frog went leaping over rocks, and Toad came puffing up behind him. They came to a dark cave. A big snake came out of the cave. “Hello lunch,” said the snake when he saw Frog and Toad. He opened his wide mouth. Frog and Toad jumped away. Toad was shaking. “I am not afraid!” he cried. They climbed higher, and they heard a loud noise. Many large stones were rolling down the mountain. “It’s an avalanche!” cried Toad. Frog and Toad jumped away. Frog was trembling. “I am not afraid!” he shouted. They came to the top of the mountain. The shadow of a hawk fell over them. Frog and Toad jumped under a rock. The hawk flew away. “We are not afraid!” screamed Frog and Toad at the same time. Then they ran down the mountain very fast. They ran past the place where they sae the snake. They ran all the way to Toad’s house. “Frog, I am glad to have a brave friend like you,” said Toad. He jumped into the bed and pulled the covers over his head. “And I am happy to have a brave friend like you, Toad,” said Frog. He jumped into the closet and shut the door. Toad stayed in the bed, and Frog stayed in the closet. They stayed there for a long time, just feeling very brave together. THE DREAM Toad was asleep, and he was having a dream. He was on a stage, and he was wearing a costume. Toad was looking into the dark. Frog was sitting in the theatre. A strange voice from far away said, “PRESENTING THE GREATEST TOAD IN THE WORLD!” Toad took a deep bow. Frog looked smaller as he shouted, “Hooray for Toad!” “TOAD WILL NOW PLAY THE PIANO VERY WELL,” said the strange voice. Toad played the piano, and he did not a note. “Frog,” cried Toad, “can you play the piano like this?” “No,” said Frog. It seemed to Toad that Frog looked even smaller. “TOAD WILL NOW WALK ON A HIGH WIRE, AND HE WILL NOT FALL DOWN,” said the voice. Toad walked on the high wire. “Frog,” cried toad, “can you do tricks like this?” “No,” peeped Frog, who looked very, very small. “TOAD WILL NOW DANCE, AND HE WILL BE WONDERFUL,” said the voice. “Frog, can you be as wonderful as this?” said Toad as he danced all over the stage. There was no answer. Toad looked out into the theatre. Frog was so small that he could not be seen or heard. “Frog, what have I done?” cried Toad. Then the voice said”THE GREATEST TOAD WILL NOW..,” “Shut up!” screamed toad. “Frog, Frog, where have you gone?” Toad was spinning in the dark. “Come back frog,” he shouted. “I will be lonely!” “I am right here” said Frog. Frog was standing near Toad’s bed. “Wake up, Toad” he said. “Frog is that really you?” said Frog. “And you your own right size?” asked Toad. “Yes, I think so,” said Frog. Toad looked at sunshine at the sunshine coming through the window. “Frog,” he said, “I am so glad that you came over.” “I always do,” said Frog. Then Frog and Toad ate a big breakfast. And after that they spent a fine, long day together."
5,Owl at Home,"Lobel, Arnold.",b007_OwlAtHome.txt,1,"THE GUEST Owl was at home. “How good it feels to be sitting by this fire,” said Owl. “It is so cold and snowy outside.” Owl was eating buttered toast and hot pea soup for supper. Owl heard a loud sound at the front door. “Who is out there banging and pounding at my door on a night like this?” he said. Owl opened the door. No one was there. Only the snow and the wind. Owl sat near the fire again. There was another loud noise at the door. “Who can it be,” said Owl, “knocking and thumping at my door on a night like this?” Owl opened the door. No one was there. Only the snow and the cold. “The poor old winter is knocking at my door,” said Owl. “Perhaps it wants to sit by the fire. Well, I will be kind and let the winter come in.” Owl opened his door very wide. “Come in, Winter,” said Owl. “Come in and warm yourself for a while.” Winter came into the house. It came in very fast. A cold wind pushed Owl against the wall. Winter ran around the room. It blew out the fire in the fireplace. The snow whirled up the stairs and whooshed down the hallway. “Winter!” cried Owl. “You are my guest. This is no way to behave!” But Winter did not listen. It made the window shades flap and shiver. It turned the pea soup into hard, green ice. Winter went into all the rooms of Owl’s house. Soon everything was covered with snow. “You must go, Winter!” shouted Owl. “Go ways, right now!” The wind blew around and around. Then Winter rushed out and slammed the front door. “Good-bye,” called Owl, “and do not come back!” Owl made a new fire in the fireplace. The room became warm again. The snow melted away. The hard, green ice turned back into soft pea soup. Owl sat down in his chair and quietly finished his supper. Strange Bumps Owl was in bed. “It is time to blow out the candle and go to sleep,” he said with a yawn. Then Owl saw two bumps under the blanket at the bottom of his bed. “What can those strange bumps be?” asked Owl. Owl lifted up the blanket. He looked down into the bed. All he could see was darkness. Owl tried to sleep, but he could not. “What if those two strange bumps grow bigger and bigger while I am asleep?” said Owl. “That would not be pleasant.” Owl moved his right foot up and down. The bump on the right moved up and down. “One of those bumps is moving!” said Owl. Owl moved his left foot up and down. The bump on the left moved up and down. “The other bump is moving!” cried Owl. Owl pulled all of the covers off his bed. The bumps were gone. All Owl could see at the bottom of the bed were his own two feet. “But now I am cold,” said Owl. “I will cover myself with the blankets again.” As soon as he did, he way the same two bumps. “Those bumps are back!” shouted Owl. “Bumps, bumps, bumps! I will never sleep tonight!” Owl jumped up and down on top of his bed. “Where are you? What are you?” he cried. With a crash and a bang the bed came falling down. Owl ran down the stairs. He sat in his chair near the fire. “I will let those two strange bumps sit on my bed all by themselves,” said Owl. “Let them grow as big as they wish. I will sleep right here where I am safe.” And that was what he did. TEAR-WATER SEA Owl took the kettle out of the cupboard. “Tonight I will make tear-water tea,” he said. He put the kettle on his lap. “Now,” said Owl, “I will begin.” Owl sat very still. He began to think of things that were sad. “Chairs with broken legs,” said Owl. His eyes began to water. “Songs that cannot be sung,” said Owl, “because the words have been forgotten.” Owl began to cry. A large tear rolled down and dropped into the kettle. “Spoons that have fallen behind the stove and are never seen again,” said Owl. More tears dropped down into the kettle. “Books that cannot be read,” said Owl, “because some of the pages have been torn out.” “Clocks that have stopped,” said Owl, “with on one near to wind them up.” Owl was crying. Many large tears dropped into the kettle. “Mornings nobody was because everybody was sleeping,” sobbed Owl. “Mashed potatoes left on a plate,” he cried, “because no one wanted to eat them. And pencils that are too short to use.” Owl thought about many other sad things. He cried and cried. Soon the kettle was filled up with tears. “There,” said Owl. “That does it!” Owl stopped crying. He put the kettle on the stove to boil for tea. Owl felt happy as he filled his cup. “It tasted a little bit salty,” he said, “but tear-water tea is always pretty good.” UPSTAIRS AND DOWNSTAIRS Owl’s house had an upstairs and a downstairs. There were twenty steps on the stairway. Some of the time Owl was upstairs in his bedroom. At other times Owl was downstairs in his living room. When Owl was downstairs he said, “I wonder how my upstairs is?” When Owl was upstairs he said, “I wonder how my downstairs is getting along? I am always missing one place or the other. There must be a way,” said Owl, “to be upstairs and to be downstairs at the same time.” “Perhaps if I run very very fast, I can be in both places at once.” Owl ran up the stairs. “I am up,” he said. Owl ran down the stairs. “I am down,” he said. Owl ran up and down the stairs faster and faster. “Owl!” he cried. “Are you downstairs?” There was no answer. “No,” said Owl. “I am not downstairs because I am upstairs. I am not running fast enough.” “Owl!” he shouted. “Are you upstairs?” There was no answer. “No,” said Owl. “I am not upstairs because I am downstairs. I must run even faster.” “Faster, faster, faster!” cried Owl. Owl ran upstairs and downstairs all evening. But he could not be in both places at once. “When I am up,” said Owl, “I am not down I am not up. All I am is very tired!” Owl sat down to rest. He sat on the tenth step because it was a place that was right in the middle. OWL AND THE MOON One night Owl went down to the seashore. He sat on a large rock and looked out at the waves. Everything was dark. Then a small tip of the moon came up over the edge of the sea. Owl watched the moon. It climbed higher and higher into the sky. Soon the whole, round moon was shining. Owl sat on the rock and looked up at the moon for a long time. “If I am looking at you, moon, then you must be looking back at me. We must be very good friends.” The moon did not answer, but Owl said, “I will come back and see you again, moon. But now I must go home.” Owl waled down the path. He looked up at the sky. The moon was still there. It was following him. “No, no moon,” said Owl. “It is kind of you to light my way. But you must stay up over the sea where you look so fine,” Owl walked on a little farther. He looked at the sky again. There was the moon coming right along with him. “Dear moon,” said Owl, “you really must not come home with me. My house is small. You would not fit through the door. And I have nothing to give you for supper.” Owl kept on walking. The moon sailed after him over the tops of the trees. “Moon,” said Owl, “I think that you do not hear me.” Owl climbed to the top of a hill. He shouted as loudly as he could, “Good-bye, moon!” The moon went behind some clouds. Owl looked and looked. The moon was gone. “It is always a little sad to say good-bye to a friend,” said Owl. Owl came home. He put on his pajamas and went to bed. The room was very dark. Owl was still feeling sad. All at once, Owl’s bedroom was filled with silver light. Owl looked out of the window. The moon was coming from behind the clouds. “Moon, you have followed me all the way home. What a good, round friend you are!” said Owl. Then Owl put his head on the p pillow and closed his eyes. The moon was shining down through the window. Owl did not feel sad at all."
6,Hi! Fly Guy,"Arnold, Tedd.",b008_HiFlyGuy.txt,1,"A fly went flying. He was looking for something to eat—something tasty, something slimy. A boy went walking He was looking for something to catch—something smart, something for The Amazing Pet Show. They met. The boy caught the fly in a jar. “A pet!” He said. The fly was mad. He wanted to be free. He stomped his foot and said—Buzz! The boy was surprised. He said, “You know my name! You are the smartest pet in the world!”"
7,A Tree Is a Plant,"Bulla, Clyde Robert.",b009_ATreeIsaPlant.txt,1,"A tree is a plant. A tree is the biggest plant that grows. Most kinds of trees grow from seeds the way most small plants do. There are many kinds of trees. Here are a few of them. How many do you know? [illustration is labeled with Maple, Conifer, Persimmon, Palms, Lemon, Willow] This tree grows in the country. It might grow in your yard, too. Do you know what kind it is? This is an apple tree. This apple tree came from a seed. The seed was small. It grew inside an apple. Have you ever seen an apple seed? Ask an adult to help you cut an apple in two. The seeds are in the center. They look like this. Most apple trees come from seeds that are planted. Sometimes an apple tree grows from a seed that falls to the ground. The wind blows leaves over the seed. The wind blows soil over the seed. All winter the seed lies under the leaves and the soil. All winter the seed lies under the ice and snow and is pushed into the ground. Spring comes. Rain falls. The sun comes out and warms the earth. The seed begins to grow. At first the young plant does not look like a tree. The tree is very small. It is only a stem with two leaves. It has no apples on it. A tree must grow up before it has apples on it. Each year the tree grows. It grows tall. In seven years it is so tall that you can stand under its branches. In the spring there are blossoms on the tree. Spring is apple-blossom time. […] We cannot see the roots. They are under the ground. Some of the roots are large. Some of them are as small as hairs. The roots grow like branches under the ground. A tree could not live without roots. Roots hold the trunk in the ground. Roots keep the tree from falling when the wind blows. Roots keep the rain from washing the tree out of the ground. Roots do something more. They take water from the ground. They carry the water into the trunk of the tree. The trunk carries the water to the branches. The branches carry the water to the leaves. Hundreds and hundreds of leaves grow on the branches. The leaves make food from water and air. They make food when the sun shines. The food goes into the branches. It goes into the trunk and roots. It goes to every part of the tree. Fall comes and winter is near. The work of the leaves is over. The leaves turn yellow and brown. The leaves die and fall to the ground. Now the tree is bare. All winter it looks dead. But the tree is not dead. Under its coat of bark, the tree is alive."
8,My Five Senses,Aliki.,b010_MyFiveSenses.txt,1,"I can see! I see with my eyes. I can hear! I hear with my ears. I can smell! I smell with my nose. I can taste! I taste with my tongue. I can touch! I touch with my fingers. I do all this with my senses. I have five senses. When I see the sun or a frog or my baby sister, I use my sense of sight. I am seeing. When I hear a drum or a fire engine or a bird, I use my sense of hearing. I am hearing. When I smell soap or a pine tree or cookies just out of the oven, I use my sense of smell. I am smelling. When I drink my milk and eat my food, I use my sense of taste. I am tasting. When I touch a kitten or a balloon or water, I use my sense of touch. I am touching. Sometimes I use all my senses at once. Sometimes I use only one. I often play a game with myself. I guess how many senses I am using at that time. When I look at the moon and the stars, I use one sense. I am seeing. When I laugh and play with my puppy, I use four senses. I see, hear, smell, and touch. When I bounce a ball, I use three senses. I see, hear, touch. Sometimes I use more of one sense and less of another. But each sense is very important to me, because it makes me aware. To be aware is to see all there is to see… hear all there is to hear… smell all there is to smell… taste all there is to taste… touch all there is to touch. Wherever I go, whatever I do, every minute of the day, my senses are working. They make me aware."
9,Starfish,"Hurd, Edith Thacher",b011_Starfish.txt,1,"Starfish live in the sea. Starfish live deep down in the sea. Starfish live in pools by the sea. Some starfish are purple. Some starfish are pink. This is the sunflower starfish. It is the biggest of all. Starfish have many arms. The arms are called rays. Starfish have arms, but no legs. Starfish have feet, but no toes. They glide and slide on tiny tube feet. They move as slowly as a snail. The basket star looks like a starfish, but it is a little different. It doesn’t have tube feet. It moves with its rays. It has rays that go up and rays that go down. Tiny brittle stars are like the basket star. They hide under rocks in pools by the sea. The mud star hides in the mud. It is a starfish. It has tiny tube feet. A starfish has no eyes. A starfish has no ears or nose. Its tiny mouth is on its underside. When a starfish is hungry, it slides and it glides on its tiny tube feet. It hunts for mussels and oysters and clams. It feels for the mussels, It feels for the oysters. It feels for the clams. It feels for something to eat. The starfish crawls over a clam. Its rays go over it. Its rays go under it. Its rays go all over the clam. The starfish pulls and pulls. It pulls the shells open. It eats the clam inside. Sometimes a starfish loses a ray. A crab may pull it off. A rock may fall on it. But this does not hurt. It does not bother the starfish. The starfish just grows another ray. In the spring when the sun shines warm, and the sea grows warm, starfish lay eggs. Starfish lay eggs in the water. They lay many, many, many tiny eggs. The eggs look like sand in the sea. The tiny eggs float in the water. They float up and down. They move with the waves and the tide, up and down, up and down."
