,difficulty,titles,sci_info,eng_lang,syl_per_word,ws_per_sents,not_easy_words,avg_wd_length,polysyls,monosyls,modals_per_sent,adj,verb,adp,adv,sconj,cconj,aux,det,avg_verb_length,avg_adj_length,avg_adv_length,flesch_score,ari_score,dale_score,smog,gunning_fog,cli,linsear_raw,linsear
0,1,b002_LittleBear.txt,0,1,1.1700680270000001,7.736842105,0.0,3.80952381,0.006802720999999999,0.8367346940000001,0.228070175,0.36842105299999994,1.403508772,0.350877193,0.473684211,0.087719298,0.298245614,0.526315789,0.578947368,4.1625,4.333333333,3.666666667,99.99435016,21.8112782,0.383747368408,3.08247861,3.094736842,2.77414966,7.842105263,2.921052632
1,1,b003_AreYouMyMother.txt,0,1,1.120649652,5.6233766229999995,0.041570439,3.330254042,0.0,0.879350348,0.116883117,0.051948052,0.805194805,0.28571428600000004,0.40259740299999996,0.012987013,0.14285714300000002,0.61038961,0.961038961,4.306451613,3.25,3.870967742,106.3203122,18.49718485,0.9353167123107999,3.0,2.265978825,-1.481847575,5.6233766229999995,1.8116883119999998
2,1,b004_GreenEggsAndHam.txt,0,1,1.010012516,5.278911565,0.039948454,3.0979381439999996,0.0,0.989987484,0.006802720999999999,0.081632653,1.306122449,0.43537415,0.7414965990000001,0.0,0.231292517,0.0,0.44897959200000004,3.536458333,4.833333333,3.23853211,116.0298459,17.23074444,0.8926201022840001,3.0,2.127544007,-3.1913402060000005,5.278911565,1.639455782
3,1,b005_Putmeinthezoo.txt,0,1,1.015873016,5.04,0.031746032,3.0555555560000003,0.0,0.9841269840000001,0.32,0.16,1.08,0.28,0.56,0.0,0.04,0.52,0.44,3.814814815,4.5,3.214285714,115.7765429,16.91166667,0.75125384528,3.0,2.0286984130000003,-3.706349206,5.04,1.52
4,1,b006_FrogAndToadTogether.txt,0,1,1.1030818279999999,7.294573643,0.013283741000000002,3.8049946869999998,0.006907545,0.903825717,0.158914729,0.387596899,1.5310077519999998,0.596899225,0.46899224799999994,0.08527131800000001,0.251937984,0.410852713,0.852713178,4.592405063,4.76,4.140495868,106.1102851,21.568811800000002,0.5715611230827999,3.083111643,2.923142954,2.5155579169999998,7.395348837,2.6976744189999997
5,1,b007_OwlAtHome.txt,0,1,1.127744511,7.437810945,0.012040134,3.795986622,0.006020067,0.8782435129999999,0.139303483,0.42288557200000004,1.2537313429999999,0.711442786,0.651741294,0.11442786099999999,0.253731343,0.527363184,0.960199005,4.805555556,4.6,4.664122137,103.8784363,21.59800246,0.559029138732,3.07758909,2.979940432,2.540735786,7.5273631839999995,2.7636815919999997
6,1,b008_HiFlyGuy.txt,0,1,1.158536585,6.076923077000001,0.06329113900000001,4.088607595,0.0,0.841463415,0.0,0.538461538,1.230769231,0.384615385,0.0,0.0,0.076923077,0.46153846200000004,1.0,5.0625,5.571428571,0.0,102.654728,22.29580331,1.3007824694292003,3.0,2.4560856859999998,3.3701265819999997,6.076923077000001,2.038461538
7,1,b009_ATreeIsaPlant.txt,1,0,1.137214137,7.272727272999999,0.0125,3.897916667,0.004166667,0.869022869,0.075757576,0.34848484799999996,1.0,0.833333333,0.212121212,0.090909091,0.166666667,0.484848485,1.454545455,4.5606060610000005,4.52173913,3.928571429,103.2448658,21.99555114,0.5581022727408,3.0645497219999998,2.9140909089999996,3.04975,7.333333333,2.666666667
8,1,b010_MyFiveSenses.txt,1,0,1.129032258,8.378378377999999,0.022580645,3.35483871,0.012903226,0.883870968,0.135135135,0.243243243,1.648648649,0.567567568,0.486486486,0.054054054000000004,0.37837837799999996,0.513513514,1.1891891890000001,4.180327869,5.333333333,5.055555556,102.81481690000001,19.99047951,0.7721159520987999,3.113592367,3.360383609,0.39354838700000006,8.594594595,3.297297297
9,1,b011_Starfish.txt,1,0,1.085294118,6.8,0.108823529,3.85,0.011764706000000002,0.9264705879999999,0.04,0.54,0.86,0.62,0.36,0.08,0.32,0.42,1.24,4.279069767,5.518518519,4.444444444,108.1171176,21.5335,2.0556035229100003,3.1084652289999997,2.763529412,2.485058824,6.96,2.48
