,title,author,text,difficulty,ws,ttl_Chars,avg_wd_length
0,Little Bear,"Minarik, Else Holmelund",b002_LittleBear.txt,1,441,1680,3.8095238095238093
1,Are You My Mother?,"Eastman, P. D.",b003_AreYouMyMother.txt,1,431,1442,3.3457076566125292
2,Green Eggs and Ham,"Seuss, Dr.",b004_GreenEggsAndHam.txt,1,799,2404,3.0087609511889863
3,Put Me in the Zoo,"Lopshire, Robert.",b005_Putmeinthezoo.txt,1,126,385,3.0555555555555554
4,Frog and Toad Together,"Lobel, Arnold.",b006_FrogAndToadTogether.txt,1,1882,7161,3.8049946865037194
5,Owl at Home,"Lobel, Arnold.",b007_OwlAtHome.txt,1,1503,5675,3.775781769793746
6,Hi! Fly Guy,"Arnold, Tedd.",b008_HiFlyGuy.txt,1,82,323,3.9390243902439024
7,A Tree Is a Plant,"Bulla, Clyde Robert.",b009_ATreeIsaPlant.txt,1,481,1871,3.8898128898128896
8,My Five Senses,Aliki.,b010_MyFiveSenses.txt,1,310,1040,3.3548387096774195
9,Starfish,"Hurd, Edith Thacher",b011_Starfish.txt,1,340,1309,3.85
10,A Weed is a Flower: The Life of George Washington Carver,Aliki.,b012_AWeedisaFlower.txt,1,206,871,4.228155339805825
11,“Garden Helpers.”,National Geographic Young Explorers,b016_GardenHelpers.txt,1,72,306,4.25
12,“Wind Power.”,National Geographic Young Explorers,b017_WindPower.txt,1,70,268,3.8285714285714287
13,My Father’s Dragon,"Gannett, Ruth Stiles. ",b018_MyFathersDragon.txt,2,396,1492,3.7676767676767677
14,The Fire Cat,"Averill, Esther. ",b019_TheFireCat.txt,2,568,2200,3.8732394366197185
15,Amos & Boris,"Steig, William",b020_AmosBoris.txt,2,1807,7378,4.083010514665191
16,The Treasure,"Shulevitz, Uri",b021_TheTreasure.txt,2,138,497,3.601449275362319
17,The Stories Julian Tells,"Cameron, Ann",b022_TheStoriesJulianTells.txt,2,678,2550,3.7610619469026547
18,"Sarah, Plain and Tall","MacLachlan, Patricia",b023_SarahPlainandTall.txt,2,8386,33356,3.9775816837586455
19, Henry and Mudge: The First Book of Their Adventures,"Rylant, Cynthia",b024_HenryandMudge.txt,2,816,3334,4.08578431372549
20,Tops and Bottoms,"Stevens, Janet.",b025_TopsandBottoms.txt,2,765,3013,3.938562091503268
21,The Raft,"LaMarche, Jim.",b026_TheRaft.txt,2,1942,7684,3.956745623069001
22, Poppleton in Winter,"Rylant, Cynthia. ",b027_PoppletoninWinter.txt,2,209,960,4.5933014354066986
23,The Lighthouse Family: The Storm,"Rylant, Cynthia. ",b028_TheLighthouseFamilyTheStorm.txt,2,3090,12953,4.191909385113268
24,The One-Eyed Giant (Book One of Tales from the Odyssey),"Osborne, Mary Pope",b029_TheOneEyed.txt,2,402,1711,4.256218905472637
25,Cowgirl Kate and Cocoa,"Silverman, Erica",b030_CowgirlKateandCocoa.txt,2,273,1030,3.772893772893773
26,A Medieval Feast,Aliki,b031_AMedievalFeast.txt,2,329,1418,4.310030395136778
27,From Seed to Plant,"Gibbons, Gail",b032_FromSeedtoPlant.txt,2,129,552,4.27906976744186
28,Bats: Creatures of the Night,"Milton, Joyce",b033_BatsCreaturesoftheNight.txt,2,147,564,3.836734693877551
29,Throw Your Tooth on the Roof: Tooth Traditions Around the World,"Beeler, Selby",b034_ThrowYourTooth.txt,2,282,1104,3.9148936170212765
